Date,Price,Open,High,Low,Vol.,Change %,Stock_Code
08/28/2023,33.54,33.48,33.6,33.48,1.22M,0.57%,VZ
08/25/2023,33.35,33.33,33.52,33.02,14.91M,-0.09%,VZ
08/24/2023,33.38,33.01,33.58,33.0,18.05M,0.57%,VZ
08/23/2023,33.19,33.2,33.37,33.01,15.57M,-0.03%,VZ
08/22/2023,33.2,33.08,33.32,32.89,21.71M,0.61%,VZ
08/21/2023,33.0,33.15,33.22,32.77,26.97M,-0.54%,VZ
08/18/2023,33.18,32.86,33.42,32.86,21.72M,0.36%,VZ
08/17/2023,33.06,33.36,33.48,32.85,19.09M,-0.63%,VZ
08/16/2023,33.27,33.3,33.64,33.14,17.33M,0.03%,VZ
08/15/2023,33.26,33.35,33.51,33.21,15.49M,-0.89%,VZ
08/14/2023,33.56,33.19,33.59,33.14,17.72M,0.60%,VZ
08/11/2023,33.36,32.96,33.42,32.94,15.27M,1.03%,VZ
08/10/2023,33.02,32.85,33.32,32.82,18.90M,0.95%,VZ
08/09/2023,32.71,32.51,32.83,32.34,20.59M,0.43%,VZ
08/08/2023,32.57,32.45,32.81,32.43,21.51M,0.12%,VZ
08/07/2023,32.53,32.65,32.83,32.18,24.27M,-0.28%,VZ
08/04/2023,32.62,33.0,33.03,32.53,24.58M,-1.33%,VZ
08/03/2023,33.06,33.05,33.25,32.73,20.44M,-0.78%,VZ
08/02/2023,33.32,33.47,33.7,33.22,20.40M,-0.33%,VZ
08/01/2023,33.43,34.29,34.3,33.31,27.23M,-1.91%,VZ
07/31/2023,34.08,34.0,34.12,33.84,24.45M,0.15%,VZ
07/28/2023,34.03,33.67,34.32,33.66,30.65M,1.43%,VZ
07/27/2023,33.55,34.23,34.61,33.54,28.10M,-2.30%,VZ
07/26/2023,34.34,33.85,34.61,33.76,27.92M,0.29%,VZ
07/25/2023,34.24,34.64,34.95,33.72,35.72M,0.77%,VZ
07/24/2023,33.98,33.88,34.6,33.71,30.78M,0.30%,VZ
